id,Latitude,Longitude,Name,Category,Type,tags
411900947,49.2779185,-122.912361,Pho 99,amenity,restaurant,"{'addr:housenumber': '8901', 'addr:street': 'Cornerstone Mews', 'amenity': 'restaurant', 'cuisine': 'vietnamese', 'name': 'Pho 99', 'opening_hours': 'Mo-Su 11:00-22:00', 'phone': '+1-604-423-2699'}"
411900948,49.278119,-122.9122848,Starbucks,amenity,cafe,"{'addr:housenumber': '8910', 'addr:street': 'University High Street', 'amenity': 'cafe', 'brand': 'Starbucks', 'brand:wikidata': 'Q37158', 'brand:wikipedia': 'en:Starbucks', 'cuisine': 'coffee_shop', 'internet_access': 'yes', 'name': 'Starbucks', 'official_name': 'Starbucks Coffee', 'takeaway': 'yes'}"
471726425,49.2603585,-123.0055192,McDonald's,amenity,fast_food,"{'amenity': 'fast_food', 'brand': ""McDonald's"", 'brand:wikidata': 'Q38076', 'brand:wikipedia': ""en:McDonald's"", 'cuisine': 'burger', 'drive_through': 'yes', 'name': ""McDonald's"", 'opening_hours': '24/7', 'takeaway': 'yes'}"
482696829,49.2794746,-122.969358,Shoppers Drug Mart,amenity,pharmacy,"{'addr:housenumber': '6508', 'addr:street': 'Hastings Street', 'amenity': 'pharmacy', 'brand': 'Shoppers Drug Mart', 'brand:wikidata': 'Q1820137', 'brand:wikipedia': 'en:Shoppers Drug Mart', 'email': 'asdm214@shoppersdrugmart.ca', 'fax': '+1-604-291-6828', 'healthcare': 'pharmacy', 'name': 'Shoppers Drug Mart', 'opening_hours': 'Mo-Su 08:00-00:00', 'phone': '+1-604-291-0638', 'website': 'https://stores.shoppersdrugmart.ca/en/store/214/'}"
482696840,49.2794186,-122.967118,Safeway,shop,supermarket,"{'addr:housenumber': '6564', 'addr:street': 'Hastings Street', 'brand': 'Safeway', 'brand:wikidata': 'Q1508234', 'brand:wikipedia': 'en:Safeway Inc.', 'name': 'Safeway', 'opening_hours': 'Mo-Su 08:00-22:00', 'phone': '+1-604-291-2901', 'shop': 'supermarket', 'website': 'https://www.safeway.ca/stores/safeway-kensington-square/'}"
482696846,49.2794898,-122.967047,Starbucks,amenity,cafe,"{'addr:housenumber': '6564', 'addr:street': 'Hastings Street', 'amenity': 'cafe', 'brand': 'Starbucks', 'brand:wikidata': 'Q37158', 'brand:wikipedia': 'en:Starbucks', 'cuisine': 'coffee_shop', 'description': 'Located inside Safeway', 'name': 'Starbucks', 'official_name': 'Starbucks Coffee', 'opening_hours': 'Mo-Su 07:00-19:00', 'takeaway': 'yes'}"
482697087,49.2800699,-122.969768,White Spot,amenity,restaurant,"{'addr:housenumber': '6500', 'addr:street': 'Hastings Street', 'amenity': 'restaurant', 'brand': 'White Spot', 'brand:wikidata': 'Q7995414', 'brand:wikipedia': 'en:White Spot', 'cuisine': 'burger', 'email': 'unit164@whitespot.ca', 'name': 'White Spot', 'opening_hours': 'Mo-Th 08:00-21:00; Fr-Sa 08:00-22:00; Su 08:00-09:00', 'phone': '+1-604-299-2214', 'website': 'https://www.whitespot.ca/locations/burnaby-kensington/'}"
482697092,49.2800457,-122.966568,Cockney Kings Fish & Chips,amenity,restaurant,"{'addr:housenumber': '6574', 'addr:street': 'Hastings Street', 'amenity': 'restaurant', 'cuisine': 'fish_and_chips', 'email': 'info@cockneykings.ca', 'name': 'Cockney Kings Fish & Chips', 'opening_hours': 'Mo-Th 11:00-20:00; Fr 11:00-21:00; Sa 11:00-20:00; Su 12:00-20:00', 'phone': '+1-604-291-1323', 'website': 'http://cockneykings.ca/'}"
482697739,49.2800905,-122.968156,Petro-Canada,amenity,fuel,"{'addr:housenumber': '6568', 'addr:street': 'Hastings Street', 'addr:unit': '102', 'amenity': 'fuel', 'brand': 'Petro-Canada', 'brand:wikidata': 'Q1208279', 'brand:wikipedia': 'en:Petro-Canada', 'fuel:diesel': 'yes', 'name': 'Petro-Canada', 'phone': '+1-604-291-7391', 'self_service': 'yes', 'website': 'https://www.petro-canada.ca/en/personal/gas-station-locations/102-6568-hastings-burnaby'}"
482697785,49.2801689,-122.966568,Dairy Queen,amenity,fast_food,"{'addr:housenumber': '6572', 'addr:street': 'Hastings Street', 'amenity': 'fast_food', 'brand': 'Dairy Queen', 'brand:wikidata': 'Q1141226', 'brand:wikipedia': 'en:Dairy Queen', 'cuisine': 'ice_cream;burger', 'name': 'Dairy Queen', 'opening_hours': 'Mo-Th 11:00-22:00; Fr-Sa 11:00-22:30; Su 11:00-22:00', 'phone': '+1-604-293-1617', 'takeaway': 'yes', 'website': 'https://www.dairyqueen.com/en-us/locations/bc/burnaby/6572-hastings-st/7892/', 'wheelchair': 'yes'}"
